DESCRIPTION,STREETNAME,ADJ_PROPERTY_ADDRESS,SUBURB,STATUS,STATUS_DATE,SERVICE_TYPE,ACCESSIBILITY,PARKING,NEARBY_BUS_SERVICES
Dockside ferry terminal,Ferry St,44 FERRY ST,KANGAROO POINT,INACTIVE,2021/06/04 00:00:00+00,CityHopper,,,
Eagle Street Pier ferry terminal,Eagle St,32 MACROSSAN ST,BRISBANE CITY,INACTIVE,2022/02/27 00:00:00+00,CityFerry & CityHopper,,,Yes
Milton ferry terminal,Coronation Dr,299 CORONATION DR,MILTON,ACTIVE,2022/12/01 00:00:00+00,CityCat,Disabled Access,,
QUT Gardens Point ferry terminal,Gardens Point Rd,59 GARDENS POINT RD,BRISBANE CITY,ACTIVE,2022/12/01 00:00:00+00,CityCat,Disabled Access,,
Mowbray Park ferry terminal,Park Av,31 PARK AVE,EAST BRISBANE,ACTIVE,2021/06/04 00:00:00+00,CityCat,Disabled Access,Yes - limited,Yes
Sydney Street ferry terminal,Sydney St,112 OXLADE DR,NEW FARM,ACTIVE,2022/12/01 00:00:00+00,"CityCat, CityHopper",Disabled Access,,Yes
South Bank 2 ferry terminal,Clem Jones Promanade,153 STANLEY ST,SOUTH BRISBANE,ACTIVE,2021/06/04 00:00:00+00,CityCat & CityHopper,Assisted Mobility Impaired Access,,Yes
Bulimba ferry terminal,Oxford St,2 OXFORD ST,BULIMBA,ACTIVE,2021/06/04 00:00:00+00,"CityCat, Cross River Ferry",Disabled Access,,Yes
Riverside ferry terminal,Eagle St,32 MACROSSAN ST,BRISBANE CITY,ACTIVE,2021/06/04 00:00:00+00,"CityCat, CityHopper, Cross River Ferry",Disabled Access,,Yes
Regatta ferry terminal,Coronation Dr,566 CORONATION DR,TOOWONG,INACTIVE,2022/02/27 00:00:00+00,CityCat,Disabled Access,,Yes
Holman Street ferry terminal,Holman St,126 HOLMAN ST,KANGAROO POINT,ACTIVE,2022/12/01 00:00:00+00,"CityHopper, Cross River Ferry",,,
Teneriffe ferry terminal,Commercial Rd,17 SKYRING TCE,TENERIFFE,ACTIVE,2021/06/04 00:00:00+00,"CityCat, Cross River Ferry",Disabled Access,,Yes
Apollo Road ferry terminal,Apollo St,3 BYRON ST,BULIMBA,ACTIVE,2021/06/04 00:00:00+00,CityCat,Assisted Mobility Impaired Access,Yes - on-street,Yes
Guyatt Park ferry terminal,Macquarie St,46 HIRON ST,ST LUCIA,ACTIVE,2021/06/04 00:00:00+00,CityCat,Assisted Mobility Impaired Access,Yes - limited,Yes
South Bank 1 ferry terminal,Clem Jones Promanade,153 STANLEY ST,SOUTH BRISBANE,ACTIVE,2021/06/04 00:00:00+00,CityFerry & CityHopper,Assisted Mobility Impaired Access,,Yes
North Quay ferry terminal,Queens Wharf Rd,15 QUEENS WHARF RD,BRISBANE CITY,INACTIVE,2022/02/27 00:00:00+00,CityCat & CityHopper,Disabled Access,,Yes
New Farm Park ferry terminal,Brunswick St,1042 BRUNSWICK ST,NEW FARM,ACTIVE,2021/06/04 00:00:00+00,CityCat,Disabled Access,Yes - limited on-street,Yes
Bretts Wharf ferry terminal,Kingsford Smith Dr,449 KINGSFORD SMITH DR,HAMILTON,ACTIVE,2021/06/04 00:00:00+00,CityCat,Disabled Access,,Yes
Maritime Museum ferry terminal,Lower River Tce,77 LOWER RIVER TCE,KANGAROO POINT,ACTIVE,2022/12/01 00:00:00+00,CityHopper,Disabled Access,,
West End ferry terminal,Hoogley St,55 HOOGLEY ST,WEST END,ACTIVE,2022/04/11 00:00:00+00,CityCat,Disabled Access,,Yes
Northshore Hamilton ferry terminal,Macarthur Avenue,305 MACARTHUR AVE,HAMILTON,ACTIVE,2021/06/04 00:00:00+00,CityCat,Disabled Access,,
UQ St Lucia ferry terminal,Sir William Macgregor Dr,342 CARMODY RD,ST LUCIA,ACTIVE,2022/12/01 00:00:00+00,CityCat,Disabled Access,,Yes
South Bank 3 ferry terminal,Clem Jones Promanade,445 STANLEY ST,SOUTH BRISBANE,INACTIVE,2021/06/04 00:00:00+00,CityHopper,,,Yes
Hawthorne ferry terminal,Gordon St,14 GORDON ST,HAWTHORNE,ACTIVE,2022/05/20 00:00:00+00,CityCat,Disabled Access,Yes - limited on-street,Yes
Howard Smith Wharves ferry terminal,,,,ACTIVE,2021/12/20 00:00:00+00,CityHopper,,,